L0 = 27.5;d = 3;Polymer 0
 ;TEMP:;T:20.1 /0.0 B:0.0 /0.0 T0:20.1 /0.0 @:0 B
 ;TEMP:;T:20.0 /0.0 B:0.0 /0.0 T0:20.0 /0.0 @:0 B
7;08:53:18;1,2;0,0
7;08:53:19;0,0;0,0
7;08:53:20;0,0;0,0
7;08:53:21;0,8;0,0
7;08:53:22;0,6;0,0
7;08:53:23;1,6;0,0
7;08:53:24;2,4;0,0
7;08:53:25;0,0;0,0
7;08:53:25;1,8;0,0
8;08:53:26;0,0;0,0
8;08:53:27;0,2;0,0
8;08:53:28;0,0;0,0
8;08:53:29;0,6;0,0
8;08:53:30;0,0;0,0
8;08:53:31;0,0;0,0
8;08:53:32;0,4;0,0
8;08:53:32;1,0;0,0
8;08:53:33;1,0;0,0
8;08:53:34;1,4;0,0
8;08:53:35;0,8;0,0
8;08:53:36;-0,2;0,0
8;08:53:37;3,8;0,0
8;08:53:38;1,2;0,0
8;08:53:39;-1,0;0,0
8;08:53:39;1,6;0,0
8;08:53:40;2,6;0,0
8;08:53:41;1,2;0,0
8;08:53:42;0,4;0,0
7;08:53:43;2,8;0,0
7;08:53:44;-0,6;0,0
7;08:53:45;0,0;0,0
7;08:53:46;4,0;0,0
4;08:53:46;2,6;0,0
4;08:53:47;-0,4;0,0
4;08:53:48;2,8;0,0
4;08:53:49;-1,4;0,0
4;08:53:50;1,6;0,0
3;08:53:51;1,0;0,0
3;08:53:52;0,0;0,0
3;08:53:53;1,2;0,0
3;08:53:53;0,2;0,0
4;08:53:54;1,4;0,0
4;08:53:55;1,6;0,0
3;08:53:56;0,2;0,0
3;08:53:57;1,2;0,0
3;08:53:58;1,8;0,0
3;08:53:59;0,0;0,0
4;08:54:00;0,4;0,0
3;08:54:00;2,0;0,0
3;08:54:01;1,8;0,0
3;08:54:02;1,4;0,0
4;08:54:03;0,2;0,0
3;08:54:04;2,6;0,0
3;08:54:05;0,8;0,0
4;08:54:06;0,4;0,0
3;08:54:07;0,2;0,0
3;08:54:07;2,4;0,0
3;08:54:08;2,0;0,0
3;08:54:09;0,6;0,0
3;08:54:10;1,4;0,0
3;08:54:11;1,8;0,0
3;08:54:12;1,6;0,0
3;08:54:13;1,6;0,0
3;08:54:14;0,0;0,0
3;08:54:14;-0,6;0,0
3;08:54:15;0,2;0,0
3;08:54:16;1,4;0,0
3;08:54:17;1,0;0,0
3;08:54:18;0,2;0,0
3;08:54:19;0,6;0,0
3;08:54:20;1,6;0,0
3;08:54:21;2,4;0,0
3;08:54:21;1,4;0,0
3;08:54:22;0,2;0,0
3;08:54:23;3,4;0,0
3;08:54:24;1,4;0,0
3;08:54:25;1,8;0,0
3;08:54:26;2,4;0,0
3;08:54:27;0,0;0,0
3;08:54:28;1,6;0,0
3;08:54:29;0,4;0,0
3;08:54:29;1,0;0,0
3;08:54:30;1,0;0,0
3;08:54:31;-0,2;0,0
3;08:54:32;1,0;0,0
3;08:54:33;0,0;0,0
3;08:54:34;1,2;0,0
3;08:54:35;0,2;0,0
3;08:54:36;1,4;0,0
3;08:54:36;1,8;0,0
3;08:54:37;1,0;0,0
3;08:54:38;3,6;0,0
3;08:54:39;2,0;0,0
3;08:54:40;1,6;0,0
3;08:54:41;0,8;0,0
3;08:54:42;1,0;0,0
3;08:54:43;-0,2;0,0
3;08:54:43;0,2;0,0
3;08:54:44;1,8;0,0
3;08:54:45;0,0;0,0
3;08:54:46;0,0;0,0
3;08:54:47;-0,2;0,0
3;08:54:48;-0,4;0,0
3;08:54:49;0,2;0,0
3;08:54:50;1,0;0,0
