L0 = 21;d = 2.9;Polymer PVC SKDSN PRINTEX
 ;TEMP:;T:21.4 /0.0 B:0.0 /0.0 T0:21.4 /0.0 @:0 B
 ;TEMP:;T:21.5 /0.0 B:0.0 /0.0 T0:21.5 /0.0 @:0 B
78358336;11:37:34;-5,6;0
65560040;11:37:35;-11,2;0,0
31477302;11:37:36;-9,0;0,0
59175316;11:37:37;-14,4;0,0
83772904;11:37:38;-5,8;0,0
53463164;11:37:39;-9,2;0,0
129986280;11:37:40;-8,2;0,0
42851228;11:37:41;-14,6;0,0
35468408;11:37:41;-15,2;0,0
6937119;11:37:42;32,8;0,18
10354864;11:37:43;371,0;1,02
14399915;11:37:44;735,6;1,7
1637858;11:37:45;1064,0;2,37
171439;11:37:46;1341,4;3,22
11697804;11:37:47;1601,0;3,89
12103236;11:37:48;1843,0;4,57
18953330;11:37:48;2103,4;5,41
9165059;11:37:49;2347,8;6,09
13538052;11:37:50;2561,4;6,76
14063526;11:37:51;2749,8;7,61
5516137;11:37:52;2936,6;8,28
1103899;11:37:53;3111,6;8,96
10802941;11:37:54;3275,4;9,8
12921082;11:37:55;3436,8;10,48
8642468;11:37:55;3586,8;11,15
1298219;11:37:56;3741,8;12,0
11121839;11:37:57;3906,2;12,68
7920711;11:37:58;4092,6;13,35
10568103;11:37:59;4248,4;14,19
21107216;11:38:00;4384,2;14,87
9795035;11:38:01;4472,6;15,54
8628936;11:38:02;4600,2;16,39
13658922;11:38:02;4715,0;17,06
7254300;11:38:03;4834,2;17,74
16278245;11:38:04;4948,2;18,58
8534758;11:38:05;5066,2;19,26
9856526;11:38:06;5154,6;19,93
1770294;11:38:07;5290,8;20,78
1612085;11:38:08;5396,6;21,45
7530133;11:38:09;5470,4;22,13
15469365;11:38:09;5453,8;22,97
5910997;11:38:10;5140,6;23,65
12818038;11:38:11;394,0;24,32
10371105;11:38:12;-519,4;25,17
18558472;11:38:13;-522,6;25,84
21899626;11:38:14;-522,2;26,52
16291943;11:38:15;-521,8;26,86
